JACMEL(Ville), 1ERE BAS CAP ROUGE
CAYES-JACMEL, 1ERE RAVINE NORMANDE
COTE DE FER (Dassa), 5E BOUCAN BELIER
COTEDEFER (Ville), 1ERE GRISGRIS
BAINET(Ville), 5E BAS DE GRANDOU
BAINET(Blockauss), 2E TROU MAHOT
BELLEANSE(Ville), 5E BEL AIR
THIOTTE(Ville), 3E THIOTTE
ANSEAPITRES(Ville), 1ERE BOUCAN GUILLAUME
GRANDGOSIER(Bodarie), 1ERE COLLINES DES CHENES
MARIGOT (PEREDO), 1ERE CORAIL SAULT
MARIGOT (SAVANE DUBOIS), 5E SAVANE DUBOIS
LAVALLEE(Ternier-Ridorée), 2E TERNIER
ANSE A PITRES (MareRouge), 1ERE BOUCAN GUILLAUME
ANSE A PITRES (Bony), 2E BOIS D'ORME
BELLE ANSE (MAPOU), 7E MAPOU
JACMEL (DECOUZE), 9E HAUT COQ CHANTE
COTE DE FER (Carrefour Georges), 3E BRAS GAUCHE
JACMEL(Marbial), 5E MARBIAL
JACMEL(CapRouge-Kanyet), 1ERE CAP ROUGE
JACMEL (MONTAGNE LAVOUTE), 6E MONTAGNE LAVOUTE
JACMEL (LaMontagne), 13E LAMONTAGNE
BELLE ANSE (CORAIL LAMOTHE), 4E CORAIL LAMOTHE
BELLE ANSE (BEL AIR), 5E BEL AIR
MARIGOT (SEGUIN), 4E FOND JEAN NOEL
MARIGOT (FOND JEAN NOEL), 4E FOND JEAN NOEL
MARIGOT (NAN MOULIN), 3E MACARY
